NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
370,CP074,Tempe kacang belimbing,KZGPI- 1990,58.2,212,17.5,10,12.9,2.9,1.4,186,160,2.2,,,,,,,,0.2,,,,100
371,CP075,Tempe kedelai + jagung,KZGPI- 1990,70.6,143,12,5.5,11.4,1.9,0.6,155,156,6.8,,,,,,,1320,0.33,0.15,1.2,,100
372,CP076,"Tempe kedelai murni, goreng",KZGPI- 1990,36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22,626.7,0.8,2.5,,,78,0.24,0.6,3.3,0,100
373,CP077,"Tempe kedelai murni, mentah",KZGPI- 1990,55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4,9,234,0.57,1.7,,0,,0.19,0.59,4.9,,100
374,CP078,Tempe koro benguk,DABM-1964,64,141,10.2,1.3,23.2,,1.3,42,15,2.6,,,,,0,,,0.09,,,0,100
375,CP079,Tempe lamtoro,KZGPI- 1990,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,,,,,,,121,0.17,,,2,100
376,CP080,"Tempe lamtoro var, gung dengan kulit",KZGPI- 1990,2.3,19.6,7.6,1.3,128,41,6.8,,,,,,,1370,0.19,,1.4,,100,"1,4",,100
377,CP081,"Tempe lamtoro var, gung tanpa kulit",KZGPI- 1990,0.8,13,1.3,1.1,95,154,12.4,,,,,,,5900,0.2,0.02,2.6,,100,"2,6",,100
378,CP082,Tempe pasar,KZGPI- 1990,7.7,9.1,1.4,0.9,517,202,1.5,7,165.9,0.4,1.2,,0,,0.17,0.44,3.6,,100,"3,6",,100
379,CP083,Tempe pasar goreng,KZGPI- 1990,28,7.8,3.4,1.3,156,350,3,20,566.2,0.8,2.2,,,10,0.1,0.5,3,0,100,"3,0",0,100
380,CP084,Tepung hunkwe (pati kacang ijo),DABM-1964,1,83.5,16.1,1,50,100,1,15,1232.9,0.93,2.7,0,,,0,0.23,2.2,0,100,"2,2",0,100
381,CP085,Tepung Jalejo,BKP,7.5,61.2,5.8,2.3,101,663,2,3,712,0.6,1.9,,1000,0,0.02,0.7,1.6,9,100,"1,6",9,100
382,CP086,Tepung kacang kedelai,DABM-1964,20.6,29.9,5.8,4,195,544,8.4,52,2522.6,4303,2.6,,0,140,0.77,0.32,2.1,0,100,"2,1",0,100
390,DR008,"Bayam, segar",KZGPI-1990,0.4,2.9,0.7,1.3,166,76,3.5,16,456.4,0.13,0.4,,2699,2293,0.04,0.1,1,41,71,"1,0",41,71
391,DR009,"Bayam merah, segar",KZGMI-2001,0.8,6.3,2.2,2.2,520,80,7,20,60,0.2,0.8,0,7325,,0.2,0.1,0.1,62,71,"0,1",62,71
392,DR010,"Bit, segar",DABM-1964,0.1,9.6,2.6,1.1,27,43,1,29,404.9,0.2,0.7,,0,20,0.02,0.05,0.3,10,75,"0,3",10,75
395,DR013,"Buncis, segar",KZGPI-1990,0.3,7.2,1.9,0.5,101,42,0.7,8,250,0.07,0.3,0,772,550,0.05,0.4,2.8,11,90,"2,8",11,90
396,DR014,"Bunga pepaya, segar",KZGPI-1990,0.3,8.1,1.6,1.7,290,113,4.2,2,478.3,0.08,0.8,,2792,5,0.01,0.28,1,23,100,"1,0",23,100
415,DR033,"Daun kacang panjang, segar",KZGPI-1990,89.7,30,3.1,0.3,5.8,1.7,1.1,200,66,4.5,7,458.6,0.2,0.3,0,2734,4592,0.33,0.2,1.1,30,65
416,DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,80.3,92,4,3.6,10.9,5.8,1.2,140,70,1.6,70,90,0.3,1.1,,9999,,0.1,0.2,0.1,74,87
