KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
CP083,Tempe pasar goreng,KZGPI- 1990,7.8,3.4,1.3,156.0,350.0,2
CP084,Tepung hunkwe (pati kacang ijo),DABM-1964,83.5,16.1,1.0,50.0,100.0,0
CP085,Tepung Jalejo,BKP,61.2,5.8,2.3,101.0,663.0,2
CP086,Tepung kacang kedelai,DABM-1964,29.9,5.8,4.0,195.0,544.0,2
DR008,"Bayam, segar",KZGPI-1990,2.9,0.7,1.3,166.0,76.0,0
DR009,"Bayam merah, segar",KZGMI-2001,6.3,2.2,2.2,520.0,80.0,2
DR010,"Bit, segar",DABM-1964,9.6,2.6,1.1,27.0,43.0,0
DR013,"Buncis, segar",KZGPI-1990,7.2,1.9,0.5,101.0,42.0,0
DR014,"Bunga pepaya, segar",KZGPI-1990,8.1,1.6,1.7,290.0,113.0,2
DR033,"Daun kacang panjang, segar",KZGPI-1990,30.0,3.1,0.3,5.8,1.7,0
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,92.0,4.0,3.6,10.9,5.8,0
DR035,"Daun katuk, segar",KZGPI-1990,59.0,6.4,1.0,9.9,1.5,0
DR036,"Daun kecipir, segar",DABM-1964,52.0,5.0,0.5,8.5,,0
DR037,"Daun kedondong, segar",DABM-1964,59.0,3.5,0.3,13.4,10.7,0
DR038,"Daun kelor, segar",KZGMI-2001,92.0,5.1,1.6,14.3,8.2,0
DR039,"Daun kemangi, segar",DABM-1964,43.0,5.5,0.3,7.5,8.4,0
DR040,"Daun kenikir, segar",BKP,45.0,3.7,0.5,6.6,5.8,0
DR041,"Daun kesum, segar",KZGPI-1990,48.0,4.5,0.8,9.1,1.6,0
DR042,"Daun kol sawi, segar",KZGPI-1990,22.0,2.1,0.5,3.6,0.9,0
DR044,"Daun kubis, segar",KZGMI-2001,51.0,2.5,1.1,8.0,3.4,0
DR046,"Daun labu siam, segar",DABM-1964,34.0,4.0,0.4,4.7,3.5,0
